api_client_id,customer_id,api_key_hash,secret_hash,allowed_ips_json,rate_limit,scopes_json,created_at,last_used,active_flag
API6012,CUST1012,ee9b06450f8f00d09ac6474da20513a16a329f8d5e946d086d333389cdcdb10e,4256b551893c629baac47c07dd10835ef12bda63,[],500,"[""orders"",""inventory""]",2025-03-05 09:37:35,2025-11-03 06:08:58,True
API6013,CUST1013,ecb8056dd0d3339b0751dfeeb4240bd186cc5903fb5e4cc52df42120adec7701,c0ddf0dcce413082577b1c825b79b365f68d93a3,[],100,"[""orders"",""inventory""]",2025-01-20 18:52:37,2025-11-16 09:35:14,False
API6014,CUST1014,eec89f97b0d6bedc249088b3cc53dc7fbf8cbb03590818044490ea34a7d879ab,3b780afeff58ee479668981f452808479b9417c9,[],200,"[""orders"",""inventory""]",2025-05-13 21:44:59,2025-10-29 10:55:07,True
API6015,CUST1015,d587217407476153d4c6338a74728a1ca2917fc877579d8def257ad84eb5ec3a,e2373566a2d6d291b90607978ab67a1d18060d41,[],200,"[""orders"",""inventory""]",2025-03-24 06:37:28,2025-11-21 08:24:17,True
API6016,CUST1016,60ad07ebf380736a429ee7b0a093d5d188859b7241d59c8251c18d0937625266,177faf668e90a9dda937b73d393512a6dcd35306,[],200,"[""orders"",""inventory""]",2025-03-17 11:02:05,2025-11-01 08:42:23,True
API6017,CUST1017,78f07e93b10162ed69c7c04d467e1b0c824779ebcd77059ca959e075710edc38,16ad6a6c0156d5b305876e80b5e292c096ee0f30,[],200,"[""orders"",""inventory""]",2024-11-26 14:33:13,2025-11-06 00:04:44,True
API6018,CUST1018,211e8441322e3c9f59182b889991eff70dcd5c15184dc98a5f9a97f1d628c1c3,db06c0aa0209b6324ee3c7ccb38bfe037a807ada,[],200,"[""orders"",""inventory""]",2025-04-18 08:45:16,2025-11-11 05:21:06,False
API6019,CUST1019,06779d1dfa11e2003725080c946c6927ebf01c7e3adb657ac5cc35bffa813d1a,4c2ad10a5cd72f3231e2abe877640a17479dcec9,[],500,"[""orders"",""inventory""]",2025-01-13 00:27:26,2025-11-05 20:06:02,True
API6020,CUST1020,5cf42ae1505bc100234347f0ddd66937f6e29a9f1c678c56b2f9cfade37a2884,dce1df28add33c730153d41e9e176ac9d88647aa,[],500,"[""orders"",""inventory""]",2025-03-12 07:56:36,2025-09-13 14:42:45,True
API6021,CUST1021,be62b7d0318304d8f4a0e0b9c37df42970cb6dc610789650f0a5d0c6953dc59b,ffbdaa49afa6c74a6b00ae79d0fc0ca8b0bfcd8f,[],200,"[""orders"",""inventory""]",2024-10-30 03:36:24,2025-10-15 14:39:45,False
API6022,CUST1022,f843308d22570ac15050bd65c9903160f93ecc4e5dfdcb467dab3cbd135bbc21,84defbd2f99e1fb2626465828b1051035e88bcf6,[],100,"[""orders"",""inventory""]",2024-12-27 14:48:47,2025-10-21 00:22:19,True
API6023,CUST1023,cab91b25cddba586725ecd449dbd9bc3e76a985dd3aa61f36058d53f14bf082f,0fa05d4048ec5a69979d191d527ad2bd4ba3afce,[],100,"[""orders"",""inventory""]",2024-12-27 17:10:58,2025-11-15 20:30:39,False
API6024,CUST1024,6ddf5ca681f4426f28a5a98a5145c8648ea38f57b00645ca19a31ec304502f40,2729bf3e6bc91f84116fbae128c62d2c28c571c3,[],200,"[""orders"",""inventory""]",2025-04-28 16:16:34,2025-10-16 03:01:17,True
API6025,CUST1025,320c80eb68f3d8c865b6e9caefd39fa330eaa8a799facb1e90076f7ef81cebf8,8e3f13d61ed92d8e93afb6d0f4ddc434b54b389a,[],100,"[""orders"",""inventory""]",2025-01-06 17:24:51,2025-09-21 13:42:53,True
API6026,CUST1026,f94b2d8b85dc4927bbe2ba5e50ec41674afc5aad54f30cdfae1a52d7823a4e0c,5d9a44d14f50c397e68512058d08a44c3b47f08f,[],200,"[""orders"",""inventory""]",2025-02-22 11:44:15,2025-09-18 20:46:06,True
API6027,CUST1027,9be6c05b6e5805fc33a0d63b4e8cddf4e60a59ca80c54ee03175202014532280,667c44a8d2bd743608940b06cffd28d99a8ee940,[],100,"[""orders"",""inventory""]",2025-05-02 15:19:41,2025-09-30 15:13:42,True
API6028,CUST1028,8138ae48d15bc0f8b0ed76d0ddf42078c05368cc47a3d60b26724a48bd52bc98,d605e05cc7d165eb74494144c8386f9644a225b4,[],100,"[""orders"",""inventory""]",2024-11-08 08:44:26,2025-10-08 13:15:22,False
API6029,CUST1029,2870e13f1519532878c4f5b330271f4ecdc51ddb7577913ef4a62a3d0e4f4ae3,7f244d7ba6c10b8d4615703f3fb7be53bd4a5008,[],100,"[""orders"",""inventory""]",2025-04-22 14:10:59,2025-10-26 19:44:26,False
API6030,CUST1030,086d1b52495460e24a62ef50962307049c757d8f024b9b3ddb86ca69cbaae2cc,f5894fa8cfa46e214061e7f78ea76d1d929acef1,[],200,"[""orders"",""inventory""]",2025-03-19 06:43:21,2025-10-09 07:07:57,True
API6031,CUST1031,01c1929663f5926690ced6e20e8570d9c83b539df3ed67f9ec6c3935b8fd04de,3f373c79fc7d293a327cca345b3aaa61d5cc5f51,[],200,"[""orders"",""inventory""]",2025-05-12 22:43:47,2025-10-03 08:25:40,True
API6032,CUST1032,d5c8ee078a2d8abcdbc7bbe2b28c19525d6b01e985dc8d07c6987fb14a5cf9fa,5f9235483a77486264488e12837ae591b7be3848,[],500,"[""orders"",""inventory""]",2024-11-06 20:45:53,2025-10-21 08:07:18,True
API6033,CUST1033,2eee6836ec2e7a18f41dc5c2bd0ea8e3aea784ff67f9b959821be360a2911cca,043de26b335fd4a15c5538402c5a9053cfd4a3f9,[],200,"[""orders"",""inventory""]",2025-03-02 16:28:07,2025-09-10 09:31:04,True
API6034,CUST1034,e5ec204ce266173e7fb4ca52497eea7c623d821f67184e2f426beab3c5b52b46,f4a7459d3a7b6bd4a6352f9bead9e0d5e6eb499c,[],200,"[""orders"",""inventory""]",2025-04-12 00:33:07,2025-10-02 13:38:04,False
API6035,CUST1035,e152e2da44593cf73f555ca917c110f92657ab08c977b5acba4c6dc6b8c0789b,cabb7e47f1b853b5fde6ddc6aea89ccafe60ee61,[],500,"[""orders"",""inventory""]",2025-01-23 20:08:38,2025-09-06 02:20:43,True
API6036,CUST1036,875e5f63ca17ec101fc28becd5b6792c5d643660af1f24ae126fe74d7f00f9d4,21b45d9bbf7a7b217c52d2cda5eb252a589c22c8,[],100,"[""orders"",""inventory""]",2024-11-22 10:38:00,2025-11-06 07:39:01,True
API6037,CUST1037,096e010b0c960b42ba5aaec7834623e5e1b983008abbd44c1ea1980b1ef2fa45,52eb44f01d260b86f803a0ac35467766f4dec128,[],500,"[""orders"",""inventory""]",2025-03-12 15:10:55,2025-10-14 02:37:22,True
API6038,CUST1038,5612b98210185556e33c94cd96ef72299a9a800117545e4a5245d34a1a5b6356,67893d17c6a750d6e338342c0ac3178fc4bad239,[],500,"[""orders"",""inventory""]",2025-03-16 15:01:59,2025-10-13 23:15:06,False
API6039,CUST1039,a8871a1ef97e4129a764164847784b29b91caca1696467b20e738e80c21373f2,18575fab2f9b3c4f8921ea199905eaea20e9a8fd,[],100,"[""orders"",""inventory""]",2025-05-12 20:47:40,2025-09-25 16:44:32,True
API6040,CUST1040,4d76359c97e9fc8d83192623fef252456ca8904e1955cf2f0b853fc54270101a,609a2c30b1e2bc9b9affa258f88b159a067cac39,[],500,"[""orders"",""inventory""]",2025-04-05 16:24:50,2025-09-20 17:17:08,True
API6041,CUST1041,ad96feccdfb0d62b7a2205113ced98a0477f099a4d7521f6fe44ec3a1931711a,fff91e524d1da95ab9cc9137745a817dc59daffc,[],500,"[""orders"",""inventory""]",2025-03-31 23:33:59,2025-09-19 04:58:43,True
API6042,CUST1042,c0fbf08998c871a065cf25bf173f72b926711ac2f7acffc03333ad38c18a86de,cf2895c7b901bfd2a1c937b664597ec1371b718e,[],100,"[""orders"",""inventory""]",2025-02-04 07:25:25,2025-10-29 14:31:03,True
API6043,CUST1043,48640ac6b64d1ee41ee5793971fd000f236c92aab4192e11228237b25d513299,92a6e20e65453834f692336385dd35ceebc2c3b6,[],200,"[""orders"",""inventory""]",2025-01-03 20:36:26,2025-12-01 20:30:27,True
API6044,CUST1044,7fb3b33b8a9950f28b0c467f53e7871f3951d0da61afc5302ab4ff0a80db493a,886c3958449a627a601ffc8bcfaa052e563d690a,[],100,"[""orders"",""inventory""]",2024-12-13 09:50:49,2025-11-13 11:37:40,False
API6045,CUST1045,46e616a8ec85fc00dee673f64ebb37cce052b504712c009c0d257ac4925ad0de,80ea307734ef90edd8bd077a33eaca1875941109,[],100,"[""orders"",""inventory""]",2024-12-06 05:15:16,2025-12-02 05:50:58,False
API6046,CUST1046,3f58917559e344f1cde32d29d8d8db33b7ac2a4299e2ee5efac1f94ee6f4aca2,0aa64e455e9778f4948463985cad716c02e4eb5c,[],500,"[""orders"",""inventory""]",2025-01-04 17:46:28,2025-11-04 01:43:52,True
API6047,CUST1047,a92afd638c72e206a4cde5d156bccb444270f26b25ec79f38289136a5b03550e,94dd98346b10c80d4ea965d963a9da8f0233d563,[],100,"[""orders"",""inventory""]",2025-01-12 07:19:50,2025-09-14 03:00:12,True
API6048,CUST1048,226457f0c034f87c399ea4baf5ff23de0ef6aa26a2adf29ddb4379fe0f548c95,13f32d260a0c2df5ed65109e925cbb914d72a876,[],500,"[""orders"",""inventory""]",2025-04-08 19:33:51,2025-10-29 03:53:33,True
API6049,CUST1049,8514fb7b1c58dda032509bc8f85130fb28a1338edc3edc289d9f8fc3cad90b82,f3b2d18bc06348e034e81298f3d5e89a0d673108,[],100,"[""orders"",""inventory""]",2025-04-14 18:59:49,2025-09-14 22:34:48,True
API6050,CUST1050,f36c24919266c358a6e39265a4dbdf528f90e1fa658fdb4e4a1c4b348e606fd6,7d83269c42969293dcfe1bd9028cae1107537799,[],500,"[""orders"",""inventory""]",2025-02-18 07:42:41,2025-11-07 08:24:34,True
