return_id,order_id,customer_id,requested_at,received_at,return_status,reason_code,qty_kg,refund_amount,credit_note_id,disposition,inspected_by,notes
RET15027,B2BORD4027,CUST1027,2025-09-15 05:24:55,2025-09-15 05:24:55,APPROVED,EXCESS_QUANTITY,58.67,788.64,CN17009,DISCARD,Tara Warrior,Customer complaint
RET15028,B2BORD4028,CUST1028,2025-10-26 09:46:53,2025-10-29 09:46:53,REQUESTED,EXCESS_QUANTITY,53.25,797.05,CN17028,RETURN_TO_SUPPLIER,Sana Gulati,Customer complaint
RET15029,B2BORD4029,CUST1029,2025-10-28 08:56:12,2025-10-29 08:56:12,COMPLETED,QUALITY,98.08,1304.5,CN17013,RETURN_TO_SUPPLIER,Vritika Desai,Spoiled
RET15030,B2BORD4030,CUST1030,2025-11-12 21:44:15,2025-11-13 21:44:15,APPROVED,DAMAGED,53.99,860.13,CN17044,RETURN_TO_SUPPLIER,Aarush Srinivas,Customer complaint
RET15031,B2BORD4031,CUST1031,2025-10-10 11:34:24,2025-10-10 11:34:24,COMPLETED,EXCESS_QUANTITY,73.69,380.98,CN17023,RETURN_TO_SUPPLIER,Adira Randhawa,Spoiled
RET15032,B2BORD4032,CUST1032,2025-10-23 16:47:05,2025-10-23 16:47:05,REJECTED,QUALITY,197.54,1232.44,CN17029,RETURN_TO_SUPPLIER,Chirag Bahri,Customer complaint
RET15033,B2BORD4033,CUST1033,2025-11-23 19:55:25,2025-11-26 19:55:25,REQUESTED,QUALITY,40.74,747.64,CN17049,RETURN_TO_SUPPLIER,Raunak Rana,Customer complaint
RET15034,B2BORD4034,CUST1034,2025-10-02 23:53:06,2025-10-02 23:53:06,REQUESTED,QUALITY,189.84,1853.46,CN17019,RESTOCK,Dhanush Sule,Packaging torn
RET15035,B2BORD4035,CUST1035,2025-11-20 09:09:35,2025-11-20 09:09:35,REJECTED,EXCESS_QUANTITY,94.77,663.75,CN17048,RETURN_TO_SUPPLIER,Manikya Toor,Customer complaint
RET15036,B2BORD4036,CUST1036,2025-09-20 19:34:58,2025-09-21 19:34:58,REJECTED,EXCESS_QUANTITY,124.99,1984.6,CN17045,RETURN_TO_SUPPLIER,Shanaya Borra,Spoiled
RET15037,B2BORD4037,CUST1037,2025-10-08 14:46:09,2025-10-08 14:46:09,COMPLETED,DAMAGED,51.84,120.22,CN17013,RETURN_TO_SUPPLIER,Jiya Halder,Spoiled
RET15038,B2BORD4038,CUST1038,2025-09-28 08:54:43,2025-09-30 08:54:43,REQUESTED,EXCESS_QUANTITY,131.3,16.67,CN17025,RETURN_TO_SUPPLIER,Kiara Gala,Packaging torn
RET15039,B2BORD4039,CUST1039,2025-10-22 14:28:18,2025-10-24 14:28:18,REQUESTED,DAMAGED,59.21,1766.8,CN17025,RESTOCK,Gatik Kalita,Packaging torn
RET15040,B2BORD4040,CUST1040,2025-10-16 16:47:30,2025-10-16 16:47:30,REJECTED,EXCESS_QUANTITY,173.49,1063.12,CN17012,RESTOCK,Emir Balay,Spoiled
RET15041,B2BORD4041,CUST1041,2025-11-29 14:26:16,2025-12-02 14:26:16,REQUESTED,DAMAGED,50.23,1058.83,CN17022,DISCARD,Akarsh Vig,Packaging torn
RET15042,B2BORD4042,CUST1042,2025-11-18 09:21:26,2025-11-19 09:21:26,REQUESTED,WRONG_ITEM,137.18,710.76,CN17020,RESTOCK,Shaan Date,Spoiled
RET15043,B2BORD4043,CUST1043,2025-11-25 06:52:29,2025-11-27 06:52:29,REQUESTED,WRONG_ITEM,175.86,1780.8,CN17002,RETURN_TO_SUPPLIER,Vedika Tandon,Packaging torn
RET15044,B2BORD4044,CUST1044,2025-10-31 03:59:06,2025-11-01 03:59:06,APPROVED,WRONG_ITEM,179.54,1313.86,CN17006,RETURN_TO_SUPPLIER,Saksham Gade,Packaging torn
RET15045,B2BORD4045,CUST1045,2025-09-06 21:20:40,2025-09-07 21:20:40,COMPLETED,QUALITY,115.01,852.93,CN17020,RETURN_TO_SUPPLIER,Renee Devi,Packaging torn
RET15046,B2BORD4046,CUST1046,2025-12-02 01:24:31,2025-12-05 01:24:31,APPROVED,QUALITY,130.84,1162.06,CN17044,RESTOCK,Saanvi Barman,Customer complaint
RET15047,B2BORD4047,CUST1047,2025-11-24 09:10:52,2025-11-26 09:10:52,APPROVED,EXCESS_QUANTITY,199.14,1951.55,CN17010,RETURN_TO_SUPPLIER,Shaan Thaman,Spoiled
RET15048,B2BORD4048,CUST1048,2025-11-20 00:20:46,2025-11-21 00:20:46,REJECTED,DAMAGED,111.91,1897.2,CN17008,RESTOCK,Myra Lala,Packaging torn
RET15049,B2BORD4049,CUST1049,2025-09-08 06:49:25,2025-09-09 06:49:25,REQUESTED,WRONG_ITEM,176.15,828.08,CN17027,DISCARD,Rasha Kaul,Packaging torn
RET15050,B2BORD4050,CUST1050,2025-10-06 21:57:56,2025-10-08 21:57:56,APPROVED,QUALITY,22.25,369.49,CN17049,RETURN_TO_SUPPLIER,Aarav Wable,Spoiled
