tracking_event_id,dispatch_id,event_ts,event_type,gps_lat,gps_long,scanned_by,scan_photo_url,location_name,status_note,created_at,device_id
TRK12025,DISP11025,2025-11-23 16:25:29,DELIVERED,22.096299,72.475869,Baiju Grewal,,Nadiad,,2025-11-24 02:11:17,DEV1639
TRK12026,DISP11026,2025-11-25 23:49:02,DELIVERED,22.503329,72.117516,Suhana Bora,,Navsari,,2025-11-28 17:17:37,DEV3135
TRK12027,DISP11027,2025-11-27 16:50:01,DELIVERED,22.539286,72.0012,Biju Bhardwaj,,Gandhinagar,,2025-11-20 11:02:46,DEV9553
TRK12028,DISP11028,2025-11-25 02:07:18,OUT_FOR_DELIVERY,22.370377,72.043438,Vidur Biswas,,Anand,,2025-11-25 15:09:22,DEV8028
TRK12029,DISP11029,2025-11-28 02:40:15,LOADED,22.938422,72.482123,Divij Arora,,Gandhinagar,,2025-11-18 04:58:16,DEV6742
TRK12030,DISP11030,2025-11-22 15:00:56,DELIVERED,22.804621,72.907859,Veer Vasa,,Nadiad,,2025-11-27 08:48:22,DEV2600
TRK12031,DISP11031,2025-12-01 11:57:01,OUT_FOR_DELIVERY,22.133883,72.477141,Anaya Vasa,,Rajkot,,2025-11-24 23:16:55,DEV2373
TRK12032,DISP11032,2025-11-25 07:02:21,IN_TRANSIT,22.598292,72.543731,Nayantara Dani,,Bhavnagar,,2025-11-30 17:00:56,DEV4096
TRK12033,DISP11033,2025-11-25 16:03:42,PICKED,22.709149,72.789422,Navya Taneja,,Nadiad,,2025-11-19 14:26:13,DEV9561
TRK12034,DISP11034,2025-12-01 10:24:09,PICKED,22.519762,72.37503,Zaina Goswami,,Rajkot,,2025-11-29 14:21:08,DEV6175
TRK12035,DISP11035,2025-11-23 07:05:21,OUT_FOR_DELIVERY,22.36227,72.154779,Manikya Vasa,,Nadiad,,2025-11-18 13:01:35,DEV5155
TRK12036,DISP11036,2025-11-24 12:44:53,IN_TRANSIT,22.854977,72.423562,Jayant Rajagopalan,,Jamnagar,,2025-11-19 06:41:42,DEV5514
TRK12037,DISP11037,2025-11-28 21:29:17,OUT_FOR_DELIVERY,22.754972,72.413228,Kartik Jani,,Anand,,2025-11-22 02:12:55,DEV8904
TRK12038,DISP11038,2025-11-28 03:36:41,LOADED,22.370213,72.554911,Shalv Tella,,Bhavnagar,,2025-11-20 03:19:51,DEV6024
TRK12039,DISP11039,2025-11-23 12:34:35,DELIVERED,22.344356,72.705495,Kimaya Saini,,Vadodara,,2025-11-30 01:03:23,DEV2951
TRK12040,DISP11040,2025-11-22 18:29:34,LOADED,22.446595,72.699311,Tanya Sem,,Vadodara,,2025-11-19 11:43:50,DEV2642
TRK12041,DISP11041,2025-11-23 00:44:07,LOADED,22.508344,72.786081,Vaibhav Bose,,Anand,,2025-11-23 00:48:24,DEV1852
TRK12042,DISP11042,2025-11-27 17:43:55,LOADED,22.389104,72.635877,Taran Badami,,Surat,,2025-11-26 16:50:21,DEV3381
TRK12043,DISP11043,2025-12-01 21:15:00,OUT_FOR_DELIVERY,22.925862,72.435377,Pari Din,,Surat,,2025-11-30 21:51:09,DEV5310
TRK12044,DISP11044,2025-12-01 03:52:56,LOADED,22.370835,72.609029,Parinaaz Gill,,Gandhinagar,,2025-11-21 06:37:38,DEV7564
TRK12045,DISP11045,2025-11-24 05:46:18,DELIVERED,22.656175,72.286469,Shaan Dhaliwal,,Nadiad,,2025-11-26 22:30:10,DEV1941
TRK12046,DISP11046,2025-11-26 11:26:29,LOADED,22.640291,72.438972,Bhamini Guha,,Rajkot,,2025-11-22 19:01:07,DEV9489
TRK12047,DISP11047,2025-12-02 05:49:05,IN_TRANSIT,22.194746,72.783959,Adah Ramachandran,,Anand,,2025-11-19 15:06:55,DEV9451
TRK12048,DISP11048,2025-11-25 23:51:25,LOADED,22.61519,72.674024,Sumer Yogi,,Jamnagar,,2025-12-01 20:05:25,DEV4919
TRK12049,DISP11049,2025-11-23 00:58:48,PICKED,22.975646,72.086843,Veer Gara,,Bhavnagar,,2025-11-22 20:37:51,DEV7544
TRK12050,DISP11050,2025-11-26 16:46:53,IN_TRANSIT,22.669662,72.405451,Indranil Thaman,,Rajkot,,2025-11-22 08:13:57,DEV9482
